pmcid,one health,one medicine,animal,human,environment,ecosystem,ecohealth,antimicrobial resistance,antibiotic resistance,drug resistance,multidrug resistance,resistance,amr,arb,ar,mdr,dairy,cow,beef,cattle,poultry,swine,chicken,pig,turkey,fish,porcine,bovine,soil,agriculture,wastewater,pharmaceutical,drinking water,groundwater,surface water,compost,manure,biosolids,aquaculture
PMC1065314,1,0,0,18,0,0,0,0,0,0,0,0,0,6,214,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PMC1079972,0,0,0,19,0,0,0,0,0,0,0,29,0,4,197,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1087878,0,0,0,5,1,0,0,0,0,0,0,9,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
PMC1088971,0,0,2,2,1,0,0,0,6,1,0,74,0,4,152,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
PMC1097738,0,0,7,7,0,0,0,0,0,0,0,4,0,8,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1131926,0,0,0,74,0,0,0,0,0,0,0,6,0,1,219,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PMC1166566,0,0,0,14,0,0,0,0,0,8,7,8,0,1,249,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1175059,0,0,0,30,0,0,0,0,0,0,0,11,1,1,158,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
PMC1185553,0,0,0,11,1,0,0,0,0,25,14,55,0,1,223,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1188083,0,0,0,40,0,0,0,0,0,0,0,5,3,12,210,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
PMC1200563,0,0,17,20,0,0,0,0,0,0,0,7,0,5,142,0,0,0,0,13,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PMC1236959,0,0,7,6,7,0,0,0,0,0,0,16,1,1,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1240401,0,0,7,32,37,0,0,0,0,0,0,10,0,4,169,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
PMC1240685,0,0,3,1,17,0,0,0,0,0,0,89,0,7,280,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PMC1240836,0,0,1,20,16,0,0,0,0,0,0,42,0,2,314,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1241249,0,0,0,11,8,0,0,0,0,4,1,5,0,18,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1241645,0,0,3,17,24,0,0,0,0,0,0,0,0,11,220,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,4,0,0,0,1
PMC1242125,0,0,0,18,0,0,0,0,0,2,1,11,0,0,151,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
PMC1247522,0,0,1,10,12,0,0,0,0,0,0,0,0,2,243,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
PMC1253663,0,0,4,40,11,0,0,0,0,0,0,5,0,0,337,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,2,4,0,0,0,0,0,0
PMC1261263,0,0,13,22,0,0,0,0,0,0,0,11,0,2,537,0,5,2,1,14,0,0,0,2,0,1,0,133,0,1,0,0,0,0,0,0,0,0,0
PMC1274245,0,0,0,42,0,0,0,0,0,0,0,4,0,3,179,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PMC1276813,0,0,0,24,4,0,0,0,0,0,0,11,0,3,173,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1277928,0,0,3,9,9,0,0,0,0,0,0,9,0,0,337,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1283159,0,0,1,11,1,0,0,0,0,0,0,25,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC128815,0,0,0,11,0,0,0,0,0,0,0,0,0,1,201,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
PMC1299327,0,0,0,19,0,0,0,0,0,15,0,51,0,3,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1326203,0,0,9,52,8,0,0,0,0,0,0,18,0,2,246,0,0,0,0,0,0,2,1,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
PMC1331980,0,0,0,49,0,0,0,0,0,0,0,4,0,4,412,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1360094,0,0,1,0,1,0,0,0,1,3,1,8,0,1,97,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1364504,0,0,0,19,0,0,0,0,0,5,0,79,0,1,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1379651,0,0,0,23,0,0,0,0,0,1,0,10,0,3,351,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
PMC138706,0,0,1,14,3,0,0,0,0,3,0,3,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PMC1395310,0,0,23,71,8,1,0,11,10,6,2,124,0,2,164,0,0,0,2,3,17,2,24,0,1,1,0,0,3,2,0,0,0,0,1,0,0,0,0
PMC1403785,0,0,2,17,2,0,0,0,0,0,0,2,1,3,174,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
PMC1410745,0,0,3,10,0,0,0,0,0,2,0,5,0,5,159,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0
PMC1413567,0,0,4,20,1,0,0,0,0,0,0,6,0,1,241,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1421399,0,0,0,11,3,0,0,0,1,0,0,3,0,11,192,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
PMC1428787,0,0,0,20,7,0,0,0,3,2,1,12,0,4,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1440875,0,0,11,6,0,0,0,0,0,1,0,30,0,20,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PMC1458349,0,0,22,6,0,0,0,1,3,1,1,8,0,2,182,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PMC1464397,0,0,0,41,0,0,0,0,0,0,0,5,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1470031,0,0,0,14,6,0,0,0,0,0,0,2,0,2,72,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
PMC1470197,0,0,1,9,11,0,0,0,0,8,5,12,0,7,195,19,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
PMC1475661,0,0,0,16,1,0,0,0,0,0,0,11,0,0,405,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1479046,0,0,2,10,4,0,0,0,5,41,0,97,0,4,163,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1481600,0,0,0,16,2,0,0,0,0,7,3,12,0,8,309,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0
PMC1510946,0,0,1,34,0,0,0,0,0,0,0,9,0,0,156,0,0,0,0,0,0,0,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1518816,0,0,16,29,13,0,0,0,0,0,0,7,0,11,207,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1519618,0,0,4,72,2,0,0,0,0,0,0,1,0,1,137,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
PMC1525219,0,0,1,9,0,0,0,0,0,0,0,7,0,3,178,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1538607,0,0,0,2,1,0,0,1,0,4,0,7,0,1,125,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1550266,0,0,1,0,8,0,0,0,0,0,0,64,0,1,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1553459,0,0,19,10,5,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
PMC1560389,0,0,0,9,0,0,0,0,0,1,0,4,0,4,321,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1567381,0,0,7,46,5,0,0,0,0,0,0,27,1,6,241,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PMC1567535,0,0,5,20,3,0,0,0,0,0,0,7,0,0,120,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1568072,0,0,0,26,0,0,0,0,0,0,0,3,0,2,75,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1568430,0,0,7,0,6,0,0,0,0,0,0,16,0,5,177,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1568685,0,0,1,32,1,0,0,0,0,0,0,10,0,0,123,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1569116,0,0,15,49,9,0,0,0,0,0,0,1,0,5,238,0,2,12,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
PMC1569868,0,0,5,10,0,0,0,0,0,2,1,5,0,1,168,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
PMC1584255,0,0,0,10,1,0,0,0,0,0,0,22,0,8,268,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1592504,0,0,1,2,2,0,0,0,0,0,0,1,0,0,104,0,0,1,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0
PMC161806,0,0,0,18,1,0,0,0,0,0,0,5,0,1,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1634859,0,0,0,16,24,0,0,0,0,0,0,6,0,10,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
