PMC4117541:
phages,18
antibiotic resistance,18
genes,15
dna,14
phage,13
args,11
bacteria,10
bacterial,10
emergence,9
spread,9
metagenomic,9
role,8
human,8
environmental,8
microbial,8
via,8
resistance,8
genetic,7
e,,7
microbiol,7
environments,6
significant,6
2014,6
revealed,6
plos,6
PMC4452792:
biotest,72
fish,62
baltic,60
parasite,39
infection,38
perch,36
lake,29
intensity,22
sea,20
resistance,19
evolution,17
prevalence,17
2015,16
baeri,16
2,,15
pmid:,15
control,13
experimental,13
10,13
water,13
host-parasite,13
parasites,12
doi:10.1371/journal.pone.0128860,11
change,11
plos,11
PMC6370625:
ureilytica,56
genes,53
cells,52
lr5/4,52
dormancy,39
cell,30
dormant,25
analysis,25
a.,,25
genome,24
formation,24
strain,23
resting,21
microbiology,21
vegetative,21
gene,20
serratia,20
performed,19
10,19
bacterial,19
2019,17
extreme,17
cellular,17
structures,17
m.,,16
PMC6361818:
meat,76
samples,66
genes,57
args,50
pig,41
bacterial,38
bacteria,37
resistance,36
soil,35
antibiotic resistance,34
abundance,32
samples,,31
pork,31
antibiotics,30
fecal,30
(100),30
bands,30
10,30
environmental,28
farm,26
detected,26
food,24
pcr,24
used,23
gene,22
PMC5936918:
wood,156
wfc,108
ﬁbres,63
ﬁbre,53
adhesive,45
water,35
chitosan-based,33
bonding,32
chitosan,28
composites,27
composite,25
ratio,22
mass,21
performance,21
resistance,20
cm,19
ftir,19
hydrogen,18
content,18
bonds,16
groups,16
−1,15
strength,15
due,14
solution,14
PMC6441836:
genotypes,104
potato,78
sweet,78
yield,57
root,54
¼,48
environments,46
spvd,45
storage,41
,39
interaction,38
dry,38
matter,34
analysis,33
environment,32
resistant,32
biplot,31
resistance,28
genotype,28
gge,26
content,26
sweetpotato,25
2019,24
per,24
identiﬁed,24
PMC6473514:
amr,78
food,67
health,53
available,48
(accessed,43
online:,43
antimicrobials,43
codex,40
trade,40
chain,26
tfamr,25
important,24
wto,23
negotiations,22
human,22
national,21
guidelines,20
global,19
issues,18
public,17
political,15
policy,15
report,14
4,,12
2019,,12
PMC6249705:
health,43
action,26
plans,25
natural,22
national,20
environment,20
antimicrobial resistance,14
world,13
region,13
multisectoral,10
approach,10
2018,9
human-animal,9
animal,9
resistance,9
(2017),8
terms,8
role,7
plan,7
pmid:,7
global,7
resistance,,6
key,6
agriculture,6
published,6
PMC6158514:
river,117
leachate,110
resistance,70
mags,52
predicted,52
microbial,47
org/10,36
duhaney,34
community,33
city,27
dump,26
metal,26
riverton,25
functional,24
identiﬁed,24
potential,23
genes,23
waste,22
modules,22
16s,22
2018,21
rrna,21
tree,21
sites,20
reads,20
PMC3084473:
bacteria,98
model,77
resistant,71
resistance,68
tetracycline,60
water,35
growth,31
sediment,29
data,28
concentration,27
input,25
dom,23
literature,21
health,20
public,20
includes,20
aquatic,20
transfer,18
river,18
concentrations,18
models,18
2011,,18
antibiotic resistance,18
organic,17
susceptible,17
PMC6373002:
urban,86
diabetes,40
insulin,39
homa-ir,34
females,33
males,30
rural,26
health,26
higher,25
distance,25
resistance,23
center,22
land,22
data,22
study,21
ci,20
